word,frequency_rank,wcount,log_w,w_cd
或者,268,13597,4.1334,4625
写,269,13589,4.1332,3955
穿,270,13586,4.1331,4351
弄,271,13574,4.1327,4604
过去,272,13485,4.1299,4787
哪里,273,13471,4.1294,3959
啦,274,13369,4.1261,3233
却,275,13346,4.1254,4587
算,276,13337,4.1251,4769
担心,277,13238,4.1218,4815
继续,278,13221,4.1213,4645
送,279,13212,4.121,4622
女孩,280,13197,4.1205,3606
以,281,13083,4.1167,4819
玩,282,13033,4.115,4171
亲爱,283,12783,4.1066,3644
下来,284,12748,4.1054,4708
成,285,12539,4.0983,4797
条,286,12508,4.0972,4324
够,287,12404,4.0936,4753
父亲,288,12399,4.0934,3099
以前,289,12391,4.0931,4628
跑,290,12332,4.091,4049
月,291,12253,4.0882,4113
早,292,12185,4.0858,4580
美国,293,12185,4.0858,3232
长,294,12173,4.0854,4563
完全,295,12068,4.0816,4491
宝贝,296,11950,4.0774,3420
号,297,11862,4.0742,3261
枪,298,11850,4.0737,2630
狗,299,11808,4.0722,2627
可是,300,11739,4.0696,3783
世界,301,11721,4.069,4044
小时,302,11709,4.0685,4313
重要,303,11677,4.0673,4515
谈,304,11653,4.0664,3982
别人,305,11613,4.0649,4473
男人,306,11608,4.0648,3833
头,307,11582,4.0638,4379
机会,308,11571,4.0634,4370
岁,309,11556,4.0628,3915
出去,310,11524,4.0616,4347
活,311,11509,4.061,4038
看见,312,11442,4.0585,3834
者,313,11387,4.0564,3517
打电话,314,11289,4.0527,3821
喂,315,11286,4.0525,3067
好像,316,11214,4.0498,4203
得到,317,11188,4.0488,4323
警察,318,11176,4.0483,2784
完,319,11162,4.0477,4599
张,320,11146,4.0471,3980
儿子,321,11100,4.0453,2923
之后,322,11099,4.0453,4193
漂亮,323,11032,4.0427,3836
分钟,324,11029,4.0425,4009
接,325,10970,4.0402,4197
场,326,10963,4.0399,3926
再见,327,10958,4.0397,3721
求,328,10904,4.0376,3504
刚,329,10888,4.0369,4456
如何,330,10879,4.0366,4019
比赛,331,10726,4.0304,1785
呀,332,10700,4.0294,2378
情况,333,10673,4.0283,4141
变,334,10580,4.0245,4291
关系,335,10567,4.024,4219
真是,336,10559,4.0236,4177
女士,337,10544,4.023,3437
本,338,10526,4.0223,3743
马上,339,10413,4.0176,4266
决定,340,10318,4.0136,3979
见到,341,10317,4.0136,4049
根本,342,10311,4.0133,4185
关于,343,10266,4.0114,4072
那儿,344,10254,4.0109,3463
难,345,10254,4.0109,4393
只要,346,10236,4.0101,4393
里面,347,10183,4.0079,4099
每,348,10154,4.0066,4252
份,349,10154,4.0066,3987
到底,350,10133,4.0057,4247
了解,351,10127,4.0055,4076
明天,352,10108,4.0047,3900
站,353,10081,4.0035,3971
结束,354,10050,4.0022,4167
公司,355,10046,4.002,2684
成为,356,10038,4.0016,3875
永远,357,10036,4.0016,4083
帮助,358,10033,4.0014,3991
来说,359,10026,4.0011,4223
多少,360,9965,3.9985,4135
哇,361,9951,3.9979,3181
名,362,9950,3.9978,3522
它们,363,9933,3.9971,3301
总,364,9898,3.9955,4260
确定,365,9889,3.9952,4072
有人,366,9877,3.9946,4277
清楚,367,9836,3.9928,4193
晚上,368,9574,3.9811,3763
安全,369,9541,3.9796,3339
怎样,370,9529,3.979,3607
没什么,371,9452,3.9755,4162
块,372,9365,3.9715,3358
回家,373,9360,3.9713,3807
留,374,9272,3.9672,4166
周,375,9241,3.9657,3254
愿意,376,9191,3.9634,3915
计划,377,9169,3.9623,3410
爸,378,9154,3.9616,2424
俩,379,9037,3.956,3474
停,380,9028,3.9556,3794
不能,381,9019,3.9552,4266
他妈的,382,9006,3.9545,1706
说话,383,8985,3.9535,3987
另,384,8973,3.9529,4051
心,385,8955,3.9521,3795
花,386,8947,3.9517,3902
她们,387,8912,3.95,2322
有些,388,8889,3.9489,4003
门,389,8879,3.9484,3504
感谢,390,8860,3.9474,3591
谈谈,391,8820,3.9455,3760
定,392,8761,3.9426,3840
于,393,8727,3.9409,3825
以后,394,8698,3.9394,3750
管,395,8697,3.9394,3992
照片,396,8687,3.9389,2474
每个,397,8685,3.9388,3803
欢迎,398,8674,3.9382,3215
敢,399,8664,3.9377,4039
兄弟,400,8631,3.9361,2717
从来,401,8581,3.9335,3753
总是,402,8552,3.9321,3894
嘴,403,8513,3.9301,3384
跳,404,8496,3.9292,2723
拜托,405,8456,3.9272,3240
女儿,406,8450,3.9269,2639
抓,407,8430,3.9258,3357
小姐,408,8423,3.9255,2582
动,409,8406,3.9246,3323
赢,410,8363,3.9224,2646
消息,411,8346,3.9215,3612
女,412,8343,3.9213,3433
忙,413,8342,3.9213,3818
或许,414,8315,3.9199,2549
如此,415,8305,3.9193,3596
队,416,8286,3.9183,2141
无法,417,8226,3.9152,3443
房子,418,8223,3.915,2820
拉,419,8219,3.9148,2886
衣服,420,8130,3.9101,3326
听说,421,8098,3.9084,3728
救,422,8095,3.9082,2977
参加,423,8081,3.9075,3191
办法,424,8059,3.9063,3701
睡,425,8031,3.9048,3200
唯一,426,8023,3.9043,3960
回去,427,7993,3.9027,3651
人们,428,7990,3.9025,3470
晚,429,7970,3.9015,3725
该死,430,7905,3.8979,2795
闭,431,7894,3.8973,3266
选择,432,7885,3.8968,3406
坏,433,7842,3.8944,3720
原因,434,7829,3.8937,3795
下去,435,7767,3.8903,3564
受,436,7756,3.8896,3879
连,437,7706,3.8868,3711
好好,438,7704,3.8867,3718
全,439,7693,3.8861,3607
确实,440,7630,3.8825,3337
挺,441,7603,3.881,3319
此,442,7595,3.8805,3539
水,443,7581,3.8797,3094
混蛋,444,7572,3.8792,2446
杯,445,7541,3.8774,3094
保证,446,7515,3.8759,3626
学校,447,7502,3.8752,2435
卖,448,7475,3.8736,2872
信,449,7450,3.8722,2883
接受,450,7444,3.8718,3580
改变,451,7434,3.8712,3404
舞,452,7420,3.8704,1012
看来,453,7416,3.8702,3574
高,454,7415,3.8701,3480
麻烦,455,7376,3.8678,3516
出现,456,7322,3.8646,3652
打算,457,7315,3.8642,3288
电影,458,7249,3.8603,2297
试,459,7231,3.8592,3387
身上,460,7228,3.859,3643
房间,461,7208,3.8578,2973
美,462,7200,3.8573,2722
不管,463,7185,3.8564,3680
书,464,7152,3.8544,2284
特别,465,7131,3.8532,3478
注意,466,7129,3.853,3554
球,467,7121,3.8525,1763
查,468,7121,3.8525,2364
忘,469,7120,3.8525,3531
甚至,470,7100,3.8513,3557
保护,471,7094,3.8509,2895
真正,472,7090,3.8506,3502
结果,473,7085,3.8503,3268
表现,474,7082,3.8502,2508
拍,475,7076,3.8498,2295
其实,476,7067,3.8492,3341
小心,477,7022,3.8465,3271
进来,478,6999,3.845,3531
路,479,6993,3.8447,3097
呆,480,6983,3.844,3072
四,481,6979,3.8438,3040
久,482,6966,3.843,3602
当时,483,6935,3.841,3077
或,484,6932,3.8409,3166
懂,485,6923,3.8403,3127
